acl 2.2.53-3
libe-book 0.1.3-7
libedit 20191231_3.1-2
libelf 0.181-1
libepoxy 1.5.4-2
libepubgen 0.1.1-2
libetonyek 0.1.9-2
libevdev 1.10.0-1
libevent 2.1.12-1
libexif 0.6.22-1
libexttextcat 3.4.5-2
libffi 3.3-3
libfontenc 1.1.4-3
libfreehand 0.1.2-3
libgcrypt 1.8.7-1
libgdiplus 5.6.1-3
libglade 2.6.4-7
libglvnd 1.3.2-1
libgpg-error 1.39-1
libgudev 234-1
libgusb 0.3.5-1
libibus 1.5.22+8+gf591381e-1
libical 3.0.8-2
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.36-1
libidn2 2.3.0-1
libiec61883 1.2.0-6
libimagequant 2.13.0-1
libinput 1.16.3-1
libixion 0.15.0-1
libjpeg-turbo 2.0.5-3
libksba 1.4.0-2
liblangtag 0.6.3-2
libldap 2.4.54-1
liblouis 3.15.0-1
liblqr 0.4.2-3
libmfx 20.2.1-1
libmicrohttpd 0.9.71-1
libmm-glib 1.14.6-1
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.1.0-2
libmspub 0.1.4-8
libmtp 1.1.18-1
libmwaw 0.3.17-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.8-1
libnfnetlink 1.0.1-4
libnftnl 1.1.7-1
libnghttp2 1.41.0-1
libnl 3.5.0-2
libnm 1.26.4-1
libnotify 0.7.9-1
libnsl 1.3.0-1
libnumbertext 1.0.6-1
libodfgen 0.1.7-2
libogg 1.3.4-2
libomxil-bellagio 0.9.3-3
liborcus 0.15.4-1
libp11-kit 0.23.21-1
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-4
libpciaccess 0.16-2
libpipeline 1.5.3-1
libplacebo 1.29.1-3
libpng 1.6.37-3
libproxy 0.4.15+33+g454a499-2
libpsl 0.21.1-1
libpulse 13.99.3-1
libqxp 0.0.2-4
libraqm 0.7.0-2
libraw1394 2.1.2-3
libreoffice-fresh 7.0.3-1
librevenge 0.0.4-3
librsvg 2:2.50.1-1
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libseccomp 2.4.2-1
libsecret 0.20.4-1
libsigc++ 2.10.4-2
libsigsegv 2.12-2
libsm 1.2.3-2
libsndfile 1.0.28-3
libsoup 2.72.0+5+g0b094bff-3
libsoxr 0.1.3-2
libssh 0.9.5-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstemmer 0+713-2
libsynctex 2020.54586-6
libtasn1 4.16.0-1
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.1.0-2
libtirpc 1.2.6-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-14
libunistring 0.9.10-2
libunrar 1:6.0.1-1
libunwind 1.3.1-2
libusb 1.0.23-3
libutempter 1.2.1-1
libuv 1.40.0-1
libva 2.9.1-1
libvdpau 1.4-1
libvisio 0.1.7-3
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.9.0-1
libwacom 1.5-1
libwebp 1.1.0-1
libwmf 0.2.12-2
libwpd 0.10.3-2
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.6.12-1
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.17-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.14.1-3
libxfce4util 4.14.0-2
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.0.1-1
libxkbcommon-x11 1.0.1-1
libxkbfile 1.1.0-2
libxml2 2.9.10-2
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzmf 0.0.2-8
licenses 20200427-1
linux 5.9.3.arch1-1
linux-api-headers 5.8-1
linux-firmware 20201023.dae4b4c-1
llvm-libs 10.0.1-3
lm_sensors 3.6.0-2
lmdb 0.9.27-1
lpsolve 5.5.2.5-4
lsd 0.16.0-2
lua 5.4.1-1
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-3
luit 20201003-1
lvm2 2.02.187-3
lynx 2.8.9-3
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
make 4.3-3
man-db 2.9.3-1
mariadb 10.5.6-3
mariadb-clients 10.5.6-3
mariadb-libs 10.5.6-3
mathjax 3.1.2-1
md4c 0.4.6-1
mdadm 4.1-2
mesa 20.2.1-1
minizip 1:1.2.11-4
mkinitcpio 29-1
mkinitcpio-busybox 1.31.1-2
mono 6.10.0.104-1
mono-addins 1.3.3-3
mousepad 0.4.2-3
mpfr 4.1.0-1
mpv 1:0.32.0-4
mtdev 1.1.6-1
mujs 1.0.9-1
ncurses 6.2-1
ndctl 70.1-1
neon 0.31.2-1
netctl 1.23-1
nettle 3.6-1
nim 1.4.0-1
nimble 1:0.12.0-1
node-gyp 7.1.0-1
nodejs 15.0.1-1
npm 6.14.8-2
npth 1.6-2
nspr 4.29-1
nss 3.58-1
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
nvidia 455.38-2
nvidia-utils 455.38-1
nvidia-xrun 0.3-0
opencore-amr 0.1.5-5
openjpeg2 2.3.1-2
openmpi 4.0.5-2
openresolv 3.11.0-1
openssh 8.4p1-2
openssl 1.1.1.h-1
optipng 0.7.7-2
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.77-2
otf-stix 2.0.2-2
p11-kit 0.23.21-1
pacman 5.2.2-1
pacman-mirrorlist 20201031-1
pam 1.4.0-3
pambase 20200721.1-2
pango 1:1.46.2-3
pangomm 2.42.1-2
parted 3.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
pdftk 3.2.1-1
perl 5.32.0-3
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
perl-uri 1.76-4
pinentry 1.1.0-5
pinta 1.7-2
pixman 0.40.0-1
pkgconf 1.7.3-1
pkgstats 3.0.0-1
podofo 0.9.6-3
polkit 0.118-1
poppler 20.10.0-1
popt 1.18-1
potrace 1.16-2
powerline 2.8.1-1
powerline-common 2.8.1-1
powerline-fonts 2.8.1-1
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio 13.99.3-1
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.99.3-1
python 3.8.6-1
python-appdirs 1.4.4-1
python-apsw 3.33.0-2
python-beautifulsoup4 4.9.3-1
python-cachecontrol 0.12.6-1
python-cairo 1.20.0-1
python-chardet 3.0.4-5
python-colorama 0.4.4-1
python-contextlib2 0.6.0.post1-1
python-css-parser 1.0.6-1
python-cssselect 1.1.0-4
python-dateutil 2.8.1-3
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distlib 0.3.1-1
python-distro 1.5.0-1
python-dnspython 2.0.0-1
python-feedparser 5.2.1-6
python-gobject 3.38.0-1
python-html2text 2020.1.16-1
python-html5-parser 0.4.9-3
python-html5lib 1.1-1
python-idna 2.10-1
